                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                  1.435,                0.56801,                 1.2216,                0.77918,                 0.7029,                0.85552,                 0.4276,                 1.8442,                 1.2752,                 1.6531,              0.0082576,              0.0082576,              0.0082576
                     90,                  1.427,                0.55984,                  1.224,                0.82602,                0.58349,                0.65457,                0.37931,                 1.5759,                 2.0073,                 1.4756,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.4217,                0.56419,                 1.2292,                0.71601,                0.71042,                0.77849,                0.42636,                 1.6783,                 1.5025,                 1.5427,               0.008218,               0.008218,               0.008218
                     92,                 1.4306,                0.57114,                   1.21,                0.78898,                0.73175,                0.86595,                 0.4599,                  1.715,                 1.3205,                 1.5482,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.4216,                 0.5678,                 1.2297,                0.67697,                0.60612,                0.71798,                0.34838,                 1.8362,                 1.9245,                 1.6088,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.4338,                0.56719,                 1.2213,                0.83099,                0.59368,                0.74689,                0.36831,                 1.8857,                 1.6865,                 1.6594,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.4166,                0.55916,                  1.214,                 0.7989,                0.63134,                0.79209,                0.40301,                 1.8609,                 1.5521,                 1.6323,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.4256,                0.56741,                 1.2189,                0.84436,                0.66744,                0.82705,                0.46809,                 1.5826,                 1.5454,                 1.4645,               0.008119,               0.008119,               0.008119
                     97,                 1.4261,                 0.5689,                 1.2162,                0.82218,                0.67773,                0.83216,                0.44591,                 1.7254,                 1.5689,                 1.5703,              0.0080992,              0.0080992,              0.0080992
                     98,                  1.428,                0.55724,                 1.2118,                 0.8609,                 0.7161,                0.80328,                0.44479,                 1.6526,                 1.6254,                 1.5273,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.4314,                0.56964,                 1.2324,                0.90785,                0.69307,                0.83697,                0.43552,                 1.8187,                 1.4347,                 1.6308,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.4176,                0.55712,                 1.2155,                0.81165,                0.68671,                0.77713,                 0.3922,                 1.8657,                 1.5144,                 1.6887,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.4232,                0.56529,                 1.2188,                 0.8691,                0.74497,                0.88441,                0.45006,                 1.7945,                 1.2627,                 1.6308,                0.00802,                0.00802,                0.00802
                    102,                 1.4216,                0.55531,                 1.2176,                0.84691,                0.83797,                0.90312,                 0.4842,                 1.7233,                   1.12,                 1.5675,              0.0080002,              0.0080002,              0.0080002
